 	X	Y
1	0.040	-0.059
2	5.019	-0.080
3	10.041	-0.046
4	14.996	-0.012
5	20.018	-0.012
6	-0.025	5.031
7	0.020	10.006
8	0.020	14.980
9	-0.025	19.989
10	0.042	5.644
11	0.020	6.189
12	2.029	14.503
13	2.006	16.377
14	6.001	17.740
15	5.979	19.546
16	11.961	13.549
17	11.983	16.514
18	18.009	10.994
19	18.009	11.777
