  0.0390311     0.0918028
  0.069862     0.124131
  0.156456     0.178334
  0.291958     0.300331
  0.61618     0.356456
  0.845657     0.394907
  1.40233     0.41539
  1.78687     0.430775
  2.1155     0.423242
  2.40242     0.400085
  2.72918     0.378987
  3.08159     0.352654
  3.36822     0.32741
  3.72121     0.30525
  4.03536     0.288335
  4.36313     0.274542
  4.70336     0.255522
  5.04561     0.251109
  5.40162     0.250862
  5.71807     0.250642
  6.11393     0.252453
  6.40487     0.258512
  6.77364     0.255125
  7.12922     0.251747
  7.40669     0.255728
  7.73633     0.255499
  8.07901     0.254217
  8.4343     0.248752
  8.7238     0.244376
  9.09271     0.242033
  9.43626     0.247011
  9.71272     0.243688
  10.055     0.239276
  10.4378     0.242141
  10.7541     0.240877
  11.0969     0.240638
  11.4264     0.239366
  11.7304     0.244372
